phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
9242899,https://f005.backblazeb2.com/file/scueama/index.html,http://www.phishtank.com/phish_detail.php?phish_id=9242899,2025-10-16T17:07:12+00:00,yes,2025-10-16T17:12:17+00:00,yes,Other
9242892,https://pay.baixacursos.shop/v7R0glorJLVGVr9,http://www.phishtank.com/phish_detail.php?phish_id=9242892,2025-10-16T16:45:45+00:00,yes,2025-10-16T16:52:36+00:00,yes,Other
9242891,https://btinternetcomlxkjh-08mo.glide.page/dl/8bc846,http://www.phishtank.com/phish_detail.php?phish_id=9242891,2025-10-16T16:43:29+00:00,yes,2025-10-16T16:52:36+00:00,yes,Other
9242890,https://pay.baixacursos.shop/meABG9dQMpvZ6Ea,http://www.phishtank.com/phish_detail.php?phish_id=9242890,2025-10-16T16:38:02+00:00,yes,2025-10-16T16:42:25+00:00,yes,Other
9242889,https://pay.baixacursos.shop/7vJOGY4oo6VZKXd,http://www.phishtank.com/phish_detail.php?phish_id=9242889,2025-10-16T16:37:18+00:00,yes,2025-10-16T16:42:25+00:00,yes,Other
9242886,https://post-finance.info/bank/postfinance/1760629045446.154,http://www.phishtank.com/phish_detail.php?phish_id=9242886,2025-10-16T16:32:02+00:00,yes,2025-10-16T16:42:25+00:00,yes,Other
9242885,https://45890134.cfd/272814810705,http://www.phishtank.com/phish_detail.php?phish_id=9242885,2025-10-16T16:27:45+00:00,yes,2025-10-16T16:32:48+00:00,yes,Other
9242883,https://suplyconflrst.com/951255083564,http://www.phishtank.com/phish_detail.php?phish_id=9242883,2025-10-16T16:25:26+00:00,yes,2025-10-16T16:32:48+00:00,yes,Other
9242882,https://fvrr-approve.shop/33167077847,http://www.phishtank.com/phish_detail.php?phish_id=9242882,2025-10-16T16:24:40+00:00,yes,2025-10-16T16:32:48+00:00,yes,Other
9242880,https://cmfirstenviroreq.com/50lw3db41,http://www.phishtank.com/phish_detail.php?phish_id=9242880,2025-10-16T16:22:43+00:00,yes,2025-10-16T16:32:48+00:00,yes,Other
9242879,https://fvrr-order.help/192773302461,http://www.phishtank.com/phish_detail.php?phish_id=9242879,2025-10-16T16:21:50+00:00,yes,2025-10-16T16:32:48+00:00,yes,Other
9242878,https://fiverrverifcheck.com/109559450926,http://www.phishtank.com/phish_detail.php?phish_id=9242878,2025-10-16T16:20:47+00:00,yes,2025-10-16T16:32:48+00:00,yes,Other
9242876,https://fiverr.profileview.click/259396010,http://www.phishtank.com/phish_detail.php?phish_id=9242876,2025-10-16T16:18:39+00:00,yes,2025-10-16T16:22:48+00:00,yes,Other
9242873,https://6873249.sbs/merchant/order/6J5W8D4B8L9,http://www.phishtank.com/phish_detail.php?phish_id=9242873,2025-10-16T16:16:55+00:00,yes,2025-10-16T16:22:48+00:00,yes,Other
9242871,https://fiverr-to.pointloaded.com/u/9962078,http://www.phishtank.com/phish_detail.php?phish_id=9242871,2025-10-16T16:08:57+00:00,yes,2025-10-16T16:12:38+00:00,yes,Other
9242869,https://details.icu/485604813240,http://www.phishtank.com/phish_detail.php?phish_id=9242869,2025-10-16T16:06:23+00:00,yes,2025-10-16T16:12:38+00:00,yes,Other
9242867,https://qrcodedynamic.com/dajajaflhf45ra/,http://www.phishtank.com/phish_detail.php?phish_id=9242867,2025-10-16T16:02:08+00:00,yes,2025-10-16T16:12:38+00:00,yes,Other
9242861,https://allegrolokalnie.pl-oferta486783.cfd/,http://www.phishtank.com/phish_detail.php?phish_id=9242861,2025-10-16T15:51:09+00:00,yes,2025-10-16T16:03:25+00:00,yes,Allegro
9242850,https://spr.2tb.fit/?z7mkyFIopUE4Q4zv6GoHFpVoCrcgztcGNp31qXYghduvWD4iqSkNRgJWxTFVYPwD4ruiORURrFLa7rl4207nWBWUmSo36NwVcz8b&s1,http://www.phishtank.com/phish_detail.php?phish_id=9242850,2025-10-16T15:30:16+00:00,yes,2025-10-16T15:42:21+00:00,yes,Other
9242849,https://shorturl.at/B7T15,http://www.phishtank.com/phish_detail.php?phish_id=9242849,2025-10-16T15:30:14+00:00,yes,2025-10-16T15:42:21+00:00,yes,Other
9242848,https://mtf-th.site/greenhub/DE-de?9LwaIS0GvGpkdUPvP,http://www.phishtank.com/phish_detail.php?phish_id=9242848,2025-10-16T15:30:11+00:00,yes,2025-10-16T15:42:21+00:00,yes,Other
9242828,https://irs.mobile-fqxo.cc/us,http://www.phishtank.com/phish_detail.php?phish_id=9242828,2025-10-16T15:19:41+00:00,yes,2025-10-16T15:32:21+00:00,yes,Internal Revenue Service
9242829,https://irs.mobile-fqxo.cc/us/,http://www.phishtank.com/phish_detail.php?phish_id=9242829,2025-10-16T15:19:41+00:00,yes,2025-10-16T15:32:21+00:00,yes,Internal Revenue Service
9242816,https://prezo.ai/public/new-prezo--32af852c-bf7c-497e-83d4-a1d5ede1856f,http://www.phishtank.com/phish_detail.php?phish_id=9242816,2025-10-16T15:14:04+00:00,yes,2025-10-16T15:22:10+00:00,yes,Other
9242803,https://docs.google.com/presentation/d/e/2PACX-1vSV8C43yyn1sO6GE3xgCteypRUDms1t6cm5LkhO17JLlY-jWXzfq9cc8vbf1ubguczlS3lv6-RROyEA/pub,http://www.phishtank.com/phish_detail.php?phish_id=9242803,2025-10-16T15:01:49+00:00,yes,2025-10-16T15:12:31+00:00,yes,Other
9242801,https://docs.google.com/presentation/d/e/2PACX-1vSV8C43yyn1sO6GE3xgCteypRUDms1t6cm5LkhO17JLlY-jWXzfq9cc8vbf1ubguczlS3lv6-RROyEA/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=9242801,2025-10-16T15:01:17+00:00,yes,2025-10-16T15:12:31+00:00,yes,Other
9242798,https://maddbni.wixsite.com/scbc,http://www.phishtank.com/phish_detail.php?phish_id=9242798,2025-10-16T15:00:47+00:00,yes,2025-10-16T15:12:31+00:00,yes,Other
