feature,rf_mean_shap,xgb_mean_shap,lgbm_mean_shap,rf_rank,xgb_rank,lgbm_rank,avg_rank
subdomain_depth,0.12963179903622016,2.6716993,3.6483541322293713,1,1,1,1.0
path_len,0.11091890465517527,2.3159068,2.675722225234752,2,2,3,2.3333333333333335
url_len,0.10837679429356165,2.0113409,2.726621690998987,3,3,2,2.6666666666666665
shannon_entropy_url,0.07652351896822861,0.5474775,0.8259954485391211,4,4,4,4.0
host_len,0.046458808217714996,0.30142602,0.7546039955135211,5,6,5,5.333333333333333
n_hyphens,0.020649817761256132,0.4236214,0.3859027490177231,7,5,6,6.0
n_digits,0.020925420083281198,0.23716365,0.3429302140231725,6,7,7,6.666666666666667
query_len,0.008040133897862515,0.15961747,0.13646293513828842,9,8,8,8.333333333333334
n_special,0.009492948858010955,0.11826308,0.03708534505640552,8,9,10,9.0
suspicious_token_present,0.0007242504954797111,0.018865356,0.11117973453039816,11,10,9,10.0
pct_encoded,7.275732111803366e-05,0.0,0.0,13,12,12,12.333333333333334
has_ip,0.0,0.0,0.0,15,11,11,12.333333333333334
has_at,0.00018830145478312033,0.0,0.0,12,13,13,12.666666666666666
is_shortener,0.0052660651368396025,0.0,0.0,10,15,15,13.333333333333334
double_slash_in_path,1.2165502024792847e-05,0.0,0.0,14,14,14,14.0
