url_len,host_len,path_len,query_len,n_digits,n_hyphens,n_special,subdomain_depth,has_ip,has_at,pct_encoded,double_slash_in_path,shannon_entropy_url,is_shortener,suspicious_token_present,label
19,10,1,0,0,0,0,0,0,0,0,0,3.5766177,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.5368867,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.8464394,0,0,0
22,13,1,0,0,1,0,0,0,0,0,0,3.5383105,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.6841838,0,0,0
22,13,1,0,0,0,0,0,0,0,0,0,3.6069367,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.4273336,0,0,0
17,8,1,0,1,0,0,0,0,0,0,0,3.5280643,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.5464394,0,0,0
17,8,1,0,0,0,0,0,0,0,0,0,3.4104173,0,0,0
18,9,1,0,0,0,0,0,0,0,0,0,3.530493,0,0,0
25,16,1,0,0,1,0,0,0,0,0,0,3.4830742,0,0,0
14,5,1,0,0,0,0,0,0,0,0,0,3.324863,0,0,0
17,8,1,0,0,0,0,0,0,0,0,0,3.6901164,0,0,0
29,20,1,0,0,1,0,0,0,0,0,0,4.1591997,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.64215,0,0,0
16,7,1,0,0,0,0,0,0,0,0,0,3.2028196,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.5225716,0,0,0
16,7,1,0,0,0,0,0,0,0,0,0,3.4528196,0,0,0
17,8,1,0,0,0,0,0,0,0,0,0,3.3371754,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.6464393,0,0,0
30,21,1,0,0,1,0,0,0,0,0,0,3.7777472,0,0,0
15,6,1,0,0,0,0,0,0,0,0,0,3.3232315,0,0,0
23,14,1,0,0,1,0,0,0,0,0,0,3.6096685,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.64215,0,0,0
22,13,1,0,0,1,0,0,0,0,0,0,3.845351,0,0,0
16,7,1,0,0,0,0,0,0,0,0,0,3.3278196,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.6841838,0,0,0
15,6,1,0,0,0,0,0,0,0,0,0,3.1395721,0,0,0
32,23,1,0,0,0,0,0,0,0,0,0,4.1403193,0,0,0
16,7,1,0,0,0,0,0,0,0,0,0,3.3278196,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.6464393,0,0,0
16,7,1,0,0,0,0,0,0,0,0,0,3.4056392,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.497156,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.5585186,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.6818807,0,0,0
18,9,1,0,0,0,0,0,0,0,0,0,3.530493,0,0,0
23,14,1,0,0,0,0,0,0,0,0,0,3.6753109,0,0,0
16,7,1,0,0,0,0,0,0,0,0,0,3.4528196,0,0,0
15,6,1,0,0,0,0,0,0,0,0,0,3.189898,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.5766177,0,0,0
25,16,1,0,0,0,0,0,0,0,0,0,3.5590796,0,0,0
23,14,1,0,0,0,0,0,0,0,0,0,3.8492239,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.8841836,0,0,0
18,9,1,0,0,0,0,0,0,0,0,0,3.4193819,0,0,0
23,14,1,0,0,0,0,0,0,0,0,0,3.9361804,0,0,0
23,14,1,0,0,0,0,0,0,0,0,0,3.7294462,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.4992275,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.7489948,0,0,0
25,16,1,0,0,0,0,0,0,0,0,0,3.7532697,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.7474132,0,0,0
22,13,1,0,0,0,0,0,0,0,0,0,3.788755,0,0,0
26,17,1,0,0,0,0,0,0,0,0,0,3.7381494,0,0,0
25,16,1,0,0,0,0,0,0,0,0,0,3.863465,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.784942,0,0,0
18,9,1,0,0,0,0,0,0,0,0,0,3.7946534,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.7489948,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.64215,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.6178098,0,0,0
22,13,1,0,0,0,0,0,0,0,0,0,3.6069367,0,0,0
23,14,1,0,0,0,0,0,0,0,0,0,3.6424897,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.6897037,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.4841838,0,0,0
24,15,1,0,0,1,0,0,0,0,0,0,4.0535088,0,0,0
15,6,1,0,0,0,0,0,0,0,0,0,3.3232315,0,0,0
15,6,1,0,0,0,0,0,0,0,0,0,3.3232315,0,0,0
