feature,shap_value,feature_value
subdomain_depth,-0.1792718073031811,0.0
n_hyphens,0.16016130545935162,1.0
path_len,-0.1363371264347569,1.0
host_len,0.1181487659308448,21.0
url_len,0.09902391023401441,30.0
n_digits,-0.016169267966744616,0.0
n_special,-0.00668479381991897,0.0
shannon_entropy_url,0.0051390885537819266,3.7777472
query_len,-0.0038747534742895736,0.0
is_shortener,-0.0035571731454329624,0.0
suspicious_token_present,0.00024259628350031205,0.0
pct_encoded,-7.03654879207096e-05,0.0
has_at,-5.949463311460897e-05,0.0
double_slash_in_path,-9.118758557374932e-06,0.0
has_ip,0.0,0.0
