feature,mean_abs_shap,rank
url_len,0.13173841690544222,1
path_len,0.11562357423297441,2
subdomain_depth,0.10984495381240225,3
shannon_entropy_url,0.07343402905574457,4
host_len,0.040165353959642755,5
n_hyphens,0.03773497579045052,6
n_digits,0.018924069742786855,7
n_special,0.005441460498982757,8
is_shortener,0.002712115726901276,9
query_len,0.002309558069273117,10
suspicious_token_present,0.0018790099376201272,11
has_at,0.00014413814665382142,12
pct_encoded,5.5290581548091605e-05,13
double_slash_in_path,1.0666657230140591e-05,14
has_ip,0.0,15
