url_len,host_len,path_len,query_len,n_digits,n_hyphens,n_special,subdomain_depth,has_ip,has_at,pct_encoded,double_slash_in_path,shannon_entropy_url,is_shortener,suspicious_token_present,label
22,13,1,0,0,0,0,0,0,0,0,0,3.5383105,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.7489948,0,0,0
23,14,1,0,0,0,0,0,0,0,0,0,3.9690015,0,0,0
16,7,1,0,0,0,0,0,0,0,0,0,3.5778196,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.6464393,0,0,0
18,9,1,0,0,0,0,0,0,0,0,0,3.530493,0,0,0
22,13,1,0,0,0,0,0,0,0,0,0,3.7544417,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.5766177,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.5037017,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.497156,0,0,0
25,16,1,0,0,1,0,0,0,0,0,0,3.6732697,0,0,0
17,8,1,0,0,0,0,0,0,0,0,0,3.6901164,0,0,0
23,14,1,0,0,0,0,0,0,0,0,0,3.696625,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.5766177,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.4316235,0,0,0
28,19,1,0,0,0,0,0,0,0,0,0,3.824863,0,0,0
30,21,1,0,0,0,0,0,0,0,0,0,3.7898982,0,0,0
26,17,1,0,0,0,0,0,0,0,0,0,3.9500637,0,1,0
22,13,1,0,0,0,0,0,0,0,0,0,3.845351,0,0,0
22,13,1,0,0,1,0,0,0,0,0,0,3.7201288,0,0,0
18,9,1,0,0,0,0,0,0,0,0,0,3.7946534,0,0,0
17,8,1,0,0,0,0,0,0,0,0,0,3.6901164,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.64215,0,0,0
21,12,1,0,0,1,0,0,0,0,0,0,3.4632804,0,0,0
21,12,1,0,0,0,0,0,0,0,0,0,3.2728043,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.4713545,0,0,0
22,13,1,0,0,0,0,0,0,0,0,0,3.5383105,0,0,0
22,13,1,0,0,1,0,0,0,0,0,0,3.5383105,0,0,0
20,11,1,0,0,0,0,0,0,0,0,0,3.6841838,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.6818807,0,0,0
30,21,1,0,0,0,0,0,0,0,0,0,3.9898982,0,0,0
27,18,1,0,0,0,0,0,0,0,0,0,3.810081,0,0,0
18,9,1,0,0,0,0,0,0,0,0,0,3.4193819,0,0,0
15,6,1,0,0,0,0,0,0,0,0,0,3.4565647,0,0,0
22,13,1,0,0,0,0,0,0,0,0,0,3.6069367,0,0,0
16,7,1,0,0,0,0,0,0,0,0,0,3.2806392,0,0,0
26,17,1,0,0,0,0,0,0,0,0,0,3.7962177,0,0,0
15,6,1,0,0,0,0,0,0,0,0,0,3.189898,1,0,0
18,9,1,0,0,0,0,0,0,0,0,0,3.5724313,0,0,0
16,7,1,0,0,0,0,0,0,0,0,0,3.3278196,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.64215,0,0,0
19,10,1,0,0,0,0,0,0,0,0,0,3.3660913,0,0,0
17,8,1,0,1,0,0,0,0,0,0,0,3.5280643,0,0,0
